Date,close,VOLALITY7day
2018-10-20,5.51,7.445
2018-10-21,5.46,7.667000000000001
2018-10-22,5.49,8.033999999999999
2018-10-23,5.43,6.95
2018-10-24,5.43,6.138999999999999
2018-10-25,5.45,5.65
2018-10-26,5.42,4.497
2018-10-27,5.44,4.232
2018-10-28,5.15,14.73
2018-10-29,5.14,14.92
2018-10-30,5.25,16.99
2018-10-31,5.29,17.21
2018-11-01,5.4,18.52
2018-11-02,5.32,18.82
2018-11-03,5.54,12.88
2018-11-04,5.51,13.24
2018-11-05,5.78,16.47
2018-11-06,5.67,19.04
2018-11-07,5.53,21.02
2018-11-08,5.41,21.64
2018-11-09,5.43,18.03
2018-11-10,5.49,18.4
2018-11-11,5.46,9.774
2018-11-12,5.29,11.3
2018-11-13,4.75,28.56
2018-11-14,4.76,29.53
2018-11-15,4.59,28.53
2018-11-16,4.63,28.26
2018-11-17,4.65,29.06
2018-11-18,4.13,38.28
2018-11-19,3.81,34.74
2018-11-20,3.84,35.32
2018-11-21,3.53,37.66
2018-11-22,3.66,41.51
2018-11-23,3.3,41.84
2018-11-24,3.4,41.97
2018-11-25,3.24,39.57
2018-11-26,3.05,38.59
2018-11-27,3.3,46.0
2018-11-28,3.04,46.41
2018-11-29,2.89,41.1
2018-11-30,2.97,40.82
2018-12-01,2.87,40.23
2018-12-02,2.59,45.19
2018-12-03,2.47,29.5
2018-12-04,2.19,34.65
2018-12-05,1.85,46.13
2018-12-06,1.76,34.58
2018-12-07,1.86,50.99
2018-12-08,2.05,66.63
2018-12-09,1.95,66.66
2018-12-10,1.86,61.66
2018-12-11,2.01,46.24
2018-12-12,1.87,49.21
2018-12-13,1.85,47.11
2018-12-14,1.93,38.73
2018-12-15,1.95,36.67
2018-12-16,2.45,67.67
2018-12-17,2.7,68.67
2018-12-18,2.52,68.18
2018-12-19,2.8,66.36
2018-12-20,2.67,73.53
2018-12-21,2.69,73.68
2018-12-22,2.87,49.01
2018-12-23,2.83,43.92
2018-12-24,2.58,47.78
2018-12-25,2.65,36.67
2018-12-26,2.36,46.25
2018-12-27,2.74,65.47
2018-12-28,2.69,62.42
2018-12-29,2.75,63.01
2018-12-30,2.62,58.64
2018-12-31,2.73,59.28
2019-01-01,2.96,46.74
2019-01-02,2.75,38.23
2019-01-03,2.79,37.83
2019-01-04,2.75,37.77
2019-01-05,2.94,37.66
2019-01-06,2.83,39.64
2019-01-07,2.84,31.58
2019-01-08,2.95,24.61
2019-01-09,2.45,58.41
2019-01-10,2.44,58.59
2019-01-11,2.45,52.65
2019-01-12,2.28,53.85
2019-01-13,2.51,64.47
2019-01-14,2.42,61.65
2019-01-15,2.46,37.34
2019-01-16,2.55,38.43
2019-01-17,2.48,39.61
2019-01-18,2.5,31.69
2019-01-19,2.36,23.62
2019-01-20,2.35,22.05
2019-01-21,2.48,26.95
2019-01-22,2.46,24.54
2019-01-23,2.49,23.79
2019-01-24,2.48,23.69
2019-01-25,2.44,16.74
2019-01-26,2.38,18.61
2019-01-27,2.26,14.29
