,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
244,2019-07-22,169.91,72772.46,12475258.05,931610.24,52.19
245,2019-07-23,167.21,54338.65,8917847.7,877271.59,51.45
246,2019-07-24,161.33,39806.09,6626104.74,837465.5,52.23
247,2019-07-25,162.34,26833.57,4301545.53,864299.07,18.05
248,2019-07-26,151.11,52982.56,8143697.18,811316.51,20.88
249,2019-07-27,146.89,43090.64,6320528.6,768225.87,19.72
250,2019-07-28,146.07,27756.23,4094694.62,740469.64,18.03
251,2019-07-29,145.83,32329.14,4740315.22,708140.5,19.05
252,2019-07-30,147.96,38286.72,5662416.32,746427.22,20.8
253,2019-07-31,145.96,32650.18,4694662.67,713777.04,19.74
254,2019-08-01,148.24,49737.47,7471828.64,763514.51,11.07
255,2019-08-02,151.23,41972.09,6361570.96,805486.6,8.977
256,2019-08-03,149.9,62928.22,9396403.46,742558.38,9.339
257,2019-08-04,152.94,42102.5,6473041.36,784660.88,9.944
258,2019-08-05,147.42,64700.12,9920346.28,719960.76,15.19
259,2019-08-06,147.16,44879.43,6613667.72,675081.33,14.63
260,2019-08-07,145.03,67051.68,9680374.64,608029.65,14.34
261,2019-08-08,140.4,57975.62,8287631.67,550054.03,13.77
262,2019-08-09,141.61,47933.0,6830885.59,597987.03,14.91
263,2019-08-10,146.26,49429.23,7126460.6,647416.26,17.2
264,2019-08-11,142.62,44813.64,6465994.58,602602.62,15.71
265,2019-08-12,143.83,33051.41,4703323.77,635654.03,16.15
266,2019-08-13,135.0,76335.18,10929968.65,559318.85,22.9
267,2019-08-14,135.7,58173.55,7645039.62,617492.4,22.2
268,2019-08-15,134.88,38557.87,5190383.23,578934.53,21.73
269,2019-08-16,133.19,38068.16,5111746.57,540866.37,17.4
270,2019-08-17,136.0,22334.0,3025980.65,563200.37,19.48
271,2019-08-18,145.79,35752.55,5070305.94,598952.92,28.69
272,2019-08-19,140.2,43013.71,6094511.84,555939.21,24.28
273,2019-08-20,133.85,40587.16,5445103.71,515352.05,28.14
274,2019-08-21,134.31,31252.08,4184269.89,546604.13,28.14
275,2019-08-22,135.96,42948.33,5801690.11,589552.46,28.02
276,2019-08-23,133.19,32064.79,4265137.71,557487.67,28.0
277,2019-08-24,133.35,32320.42,4285411.17,589808.09,15.98
278,2019-08-25,131.67,39200.35,5212847.59,550607.74,13.95
279,2019-08-26,133.95,44500.26,5843039.45,595108.0,9.513
280,2019-08-27,125.12,36607.29,4784294.09,558500.71,20.51
281,2019-08-28,128.49,55786.41,7047405.87,614287.12,22.27
282,2019-08-29,130.15,27622.49,3554063.8,641909.61,22.62
283,2019-08-30,129.01,12576.06,1614879.46,629333.55,22.59
284,2019-08-31,129.74,44676.78,5735904.2,674010.33,22.62
285,2019-09-01,133.9,35195.39,4660942.02,709205.72,24.0
286,2019-09-02,134.92,54735.43,7394047.64,763941.15,9.716
287,2019-09-03,131.89,27822.15,3705577.6,736119.0,12.26
288,2019-09-04,130.52,26660.02,3494394.55,709458.98,12.46
289,2019-09-05,130.91,40969.83,5434948.81,750428.81,12.1
290,2019-09-06,134.06,34745.21,4599451.88,785174.02,13.43
291,2019-09-07,135.13,31639.73,4278863.22,816813.75,10.65
292,2019-09-08,131.03,62527.03,8294203.6,754286.72,13.41
293,2019-09-09,126.68,70228.32,8958388.78,684058.4,14.93
294,2019-09-10,119.27,93148.22,11200539.5,590910.18,20.86
295,2019-09-11,118.61,75306.14,8918771.42,515604.04,20.34
296,2019-09-12,117.11,33392.76,3910297.58,482211.28,15.96
297,2019-09-13,119.17,35970.92,4256176.1,518182.2,17.65
298,2019-09-14,119.24,51553.18,6234224.07,569735.38,18.14
299,2019-09-15,122.75,71695.34,8747370.45,641430.72,20.44
300,2019-09-16,125.0,69160.97,8469058.86,710591.69,10.64
301,2019-09-17,125.31,73311.73,9250159.14,783903.42,9.957
302,2019-09-18,122.52,85662.16,10389875.99,698241.26,11.97
303,2019-09-19,123.07,64476.29,7969453.57,762717.55,11.54
304,2019-09-20,122.31,43805.31,5372978.35,718912.24,11.92
305,2019-09-21,119.73,29576.97,3539210.41,689335.27,10.43
306,2019-09-22,112.62,43810.07,5172610.38,645525.2,16.04
307,2019-09-23,82.04,193513.61,17824630.7,452011.59,80.86
308,2019-09-24,86.43,388009.83,33072196.44,840021.42,86.98
309,2019-09-25,83.29,279656.22,23614972.33,560365.2,85.08
310,2019-09-26,84.3,186287.86,15363009.61,746653.06,86.31
311,2019-09-27,84.28,129334.96,10818669.46,617318.1,87.35
312,2019-09-28,82.64,59248.69,4888014.81,558069.41,87.96
313,2019-09-29,87.53,73420.55,6204771.1,631489.96,25.06
314,2019-09-30,84.44,120802.84,10391288.82,510687.12,23.6
315,2019-10-01,84.48,101291.64,8458534.83,611978.76,21.04
316,2019-10-02,83.03,56490.91,4692519.79,555487.85,21.35
